:::MLLOG {"namespace": "", "time_ms": 1696497642128, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "slurm_script", "lineno": 161}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497705448, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 673}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497705584, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 674}}
[4] :::MLLOG {"namespace": "", "time_ms": 1696497705448, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 673}}
[4] :::MLLOG {"namespace": "", "time_ms": 1696497705584, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 674}}
[1] :::MLLOG {"namespace": "", "time_ms": 1696497705686, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 673}}
[1] :::MLLOG {"namespace": "", "time_ms": 1696497705821, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 674}}
[5] :::MLLOG {"namespace": "", "time_ms": 1696497705686, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 673}}
[5] :::MLLOG {"namespace": "", "time_ms": 1696497705821, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 674}}
[3] :::MLLOG {"namespace": "", "time_ms": 1696497705698, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 673}}
[3] :::MLLOG {"namespace": "", "time_ms": 1696497705837, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 674}}
[7] :::MLLOG {"namespace": "", "time_ms": 1696497705698, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 673}}
[7] :::MLLOG {"namespace": "", "time_ms": 1696497705837, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 674}}
[6] :::MLLOG {"namespace": "", "time_ms": 1696497705699, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 673}}
[6] :::MLLOG {"namespace": "", "time_ms": 1696497705840, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 674}}
[2] :::MLLOG {"namespace": "", "time_ms": 1696497705699, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 673}}
[2] :::MLLOG {"namespace": "", "time_ms": 1696497705840, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 674}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497719451, "event_type": "POINT_IN_TIME", "key": "submission_benchmark", "value": "dlrm_dcnv2", "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/mlperf_logging_utils.py", "lineno": 7}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497719452, "event_type": "POINT_IN_TIME", "key": "submission_org", "value": "reference_implementation", "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/mlperf_logging_utils.py", "lineno": 11}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497719452, "event_type": "POINT_IN_TIME", "key": "submission_division", "value": "closed", "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/mlperf_logging_utils.py", "lineno": 15}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497719452, "event_type": "POINT_IN_TIME", "key": "submission_status", "value": "onprem", "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/mlperf_logging_utils.py", "lineno": 19}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497719452, "event_type": "POINT_IN_TIME", "key": "submission_platform", "value": "reference_implementation", "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/mlperf_logging_utils.py", "lineno": 23}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497719452, "event_type": "POINT_IN_TIME", "key": "global_batch_size", "value": 65536, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 712}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497719452, "event_type": "POINT_IN_TIME", "key": "gradient_accumulation_steps", "value": 1, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 716}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497719452, "event_type": "POINT_IN_TIME", "key": "seed", "value": 1696497532, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 720}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497942575, "event_type": "POINT_IN_TIME", "key": "opt_name", "value": "adagrad", "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 788}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497942577, "event_type": "POINT_IN_TIME", "key": "opt_base_learning_rate", "value": 0.004, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 792}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497942577, "event_type": "POINT_IN_TIME", "key": "opt_adagrad_learning_rate_decay", "value": 0, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 796}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497942577, "event_type": "POINT_IN_TIME", "key": "opt_weight_decay", "value": 0, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 801}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497942577, "event_type": "POINT_IN_TIME", "key": "opt_adagrad_initial_accumulator_value", "value": 0, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 805}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497942577, "event_type": "POINT_IN_TIME", "key": "opt_adagrad_epsilon", "value": 1e-08, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 810}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497942577, "event_type": "POINT_IN_TIME", "key": "opt_learning_rate_warmup_steps", "value": 0, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 815}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497942577, "event_type": "POINT_IN_TIME", "key": "opt_learning_rate_decay_start_step", "value": 0, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 819}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497942577, "event_type": "POINT_IN_TIME", "key": "opt_learning_rate_decay_steps", "value": 0, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 823}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497942577, "event_type": "INTERVAL_START", "key": "init_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 830}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696497942578, "event_type": "INTERVAL_START", "key": "run_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 833}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696498031204, "event_type": "POINT_IN_TIME", "key": "train_samples", "value": 4195155968, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 854}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696498031206, "event_type": "INTERVAL_START", "key": "epoch_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 591, "epoch_num": 0}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696498654760, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.04998984581256932}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696498836723, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.7893430590629578, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.04998984581256932}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696498836725, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.04998984581256932}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696498836725, "event_type": "POINT_IN_TIME", "key": "eval_samples", "value": 89137319, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 407, "epoch_num": 0.04998984581256932}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696499462241, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.09997969162513864}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696499641488, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.7937136888504028, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.09997969162513864}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696499641490, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.09997969162513864}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696500267393, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.14996953743770797}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696500447306, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.7955880761146545, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.14996953743770797}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696500447308, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.14996953743770797}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696501083424, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.1999593832502773}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696501265637, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.7971319556236267, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.1999593832502773}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696501265639, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.1999593832502773}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696501900143, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.2499492290628466}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696502081628, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.7980836033821106, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.2499492290628466}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696502081630, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.2499492290628466}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696502714578, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.29993907487541593}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696502896590, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.798949658870697, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.29993907487541593}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696502896593, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.29993907487541593}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696503527956, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.34992892068798526}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696503707721, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.799628734588623, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.34992892068798526}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696503707723, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.34992892068798526}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696504341134, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.3999187665005546}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696504522810, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.8001836538314819, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.3999187665005546}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696504522813, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.3999187665005546}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696505161529, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.4499086123131239}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696505343504, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.8007172346115112, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.4499086123131239}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696505343506, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.4499086123131239}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696505977038, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.4998984581256932}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696506157535, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.8011152148246765, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.4998984581256932}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696506157537, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.4998984581256932}}
