:::MLLOG {"namespace": "", "time_ms": 1696530101013, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "slurm_script", "lineno": 161}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530164325, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 673}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530164451, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 674}}
[4] :::MLLOG {"namespace": "", "time_ms": 1696530164325, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 673}}
[4] :::MLLOG {"namespace": "", "time_ms": 1696530164451, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 674}}
[5] :::MLLOG {"namespace": "", "time_ms": 1696530164520, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 673}}
[5] :::MLLOG {"namespace": "", "time_ms": 1696530164650, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 674}}
[1] :::MLLOG {"namespace": "", "time_ms": 1696530164520, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 673}}
[1] :::MLLOG {"namespace": "", "time_ms": 1696530164650, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 674}}
[3] :::MLLOG {"namespace": "", "time_ms": 1696530164537, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 673}}
[3] :::MLLOG {"namespace": "", "time_ms": 1696530164672, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 674}}
[7] :::MLLOG {"namespace": "", "time_ms": 1696530164537, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 673}}
[7] :::MLLOG {"namespace": "", "time_ms": 1696530164672, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 674}}
[2] :::MLLOG {"namespace": "", "time_ms": 1696530164557, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 673}}
[2] :::MLLOG {"namespace": "", "time_ms": 1696530164692, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 674}}
[6] :::MLLOG {"namespace": "", "time_ms": 1696530164557, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 673}}
[6] :::MLLOG {"namespace": "", "time_ms": 1696530164692, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 674}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530177957, "event_type": "POINT_IN_TIME", "key": "submission_benchmark", "value": "dlrm_dcnv2", "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/mlperf_logging_utils.py", "lineno": 7}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530177959, "event_type": "POINT_IN_TIME", "key": "submission_org", "value": "reference_implementation", "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/mlperf_logging_utils.py", "lineno": 11}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530177959, "event_type": "POINT_IN_TIME", "key": "submission_division", "value": "closed", "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/mlperf_logging_utils.py", "lineno": 15}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530177959, "event_type": "POINT_IN_TIME", "key": "submission_status", "value": "onprem", "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/mlperf_logging_utils.py", "lineno": 19}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530177959, "event_type": "POINT_IN_TIME", "key": "submission_platform", "value": "reference_implementation", "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/mlperf_logging_utils.py", "lineno": 23}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530177959, "event_type": "POINT_IN_TIME", "key": "global_batch_size", "value": 65536, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 712}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530177959, "event_type": "POINT_IN_TIME", "key": "gradient_accumulation_steps", "value": 1, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 716}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530177959, "event_type": "POINT_IN_TIME", "key": "seed", "value": 1696529991, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 720}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530403157, "event_type": "POINT_IN_TIME", "key": "opt_name", "value": "adagrad", "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 788}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530403158, "event_type": "POINT_IN_TIME", "key": "opt_base_learning_rate", "value": 0.004, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 792}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530403159, "event_type": "POINT_IN_TIME", "key": "opt_adagrad_learning_rate_decay", "value": 0, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 796}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530403159, "event_type": "POINT_IN_TIME", "key": "opt_weight_decay", "value": 0, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 801}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530403159, "event_type": "POINT_IN_TIME", "key": "opt_adagrad_initial_accumulator_value", "value": 0, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 805}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530403159, "event_type": "POINT_IN_TIME", "key": "opt_adagrad_epsilon", "value": 1e-08, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 810}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530403159, "event_type": "POINT_IN_TIME", "key": "opt_learning_rate_warmup_steps", "value": 0, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 815}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530403159, "event_type": "POINT_IN_TIME", "key": "opt_learning_rate_decay_start_step", "value": 0, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 819}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530403159, "event_type": "POINT_IN_TIME", "key": "opt_learning_rate_decay_steps", "value": 0, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 823}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530403159, "event_type": "INTERVAL_START", "key": "init_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 830}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530403160, "event_type": "INTERVAL_START", "key": "run_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 833}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530491755, "event_type": "POINT_IN_TIME", "key": "train_samples", "value": 4195155968, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 854}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696530491757, "event_type": "INTERVAL_START", "key": "epoch_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 591, "epoch_num": 0}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696531117811, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.04998984581256932}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696531300322, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.7890958786010742, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.04998984581256932}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696531300324, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.04998984581256932}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696531300324, "event_type": "POINT_IN_TIME", "key": "eval_samples", "value": 89137319, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 407, "epoch_num": 0.04998984581256932}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696531926180, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.09997969162513864}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696532106529, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.7936543822288513, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.09997969162513864}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696532106531, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.09997969162513864}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696532735112, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.14996953743770797}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696532915214, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.7955880165100098, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.14996953743770797}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696532915216, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.14996953743770797}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696533553448, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.1999593832502773}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696533735699, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.7970153093338013, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.1999593832502773}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696533735701, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.1999593832502773}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696534375300, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.2499492290628466}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696534558037, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.7980467081069946, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.2499492290628466}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696534558039, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.2499492290628466}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696535194307, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.29993907487541593}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696535377044, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.7988907098770142, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.29993907487541593}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696535377046, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.29993907487541593}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696536012549, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.34992892068798526}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696536194968, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.7995591759681702, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.34992892068798526}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696536194970, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.34992892068798526}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696536826347, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.3999187665005546}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696537008829, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.8001137971878052, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.3999187665005546}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696537008831, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.3999187665005546}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696537652499, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.4499086123131239}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696537835195, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.800658106803894, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.4499086123131239}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696537835197, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.4499086123131239}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696538469857, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 355, "epoch_num": 0.4998984581256932}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696538649789, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.8009750247001648, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 397, "epoch_num": 0.4998984581256932}}
[0] :::MLLOG {"namespace": "", "time_ms": 1696538649791, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/home/daisyden/dlrmv2/1005/Intel/benchmarks/dlrm_v2/torchrec_cpu/dlrm_main_mlperf.py", "lineno": 402, "epoch_num": 0.4998984581256932}}
